batch_loss,epoch,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss
0.46309917368699827,1.0,0.12,0.9217,0.26111897826194763,0.9207,0.2721180021762848
0.21536843850255927,2.0,0.1152,0.9485,0.1779470145702362,0.9425,0.19542677700519562
0.1627264814665708,3.0,0.110592,0.9591,0.14447571337223053,0.9526,0.16119267046451569
0.13103918636889408,4.0,0.10616831999999998,0.9652,0.11312860995531082,0.9592,0.13882538676261902
0.11042864261971563,5.0,0.10192158719999998,0.9665,0.1040453389286995,0.9588,0.13698941469192505
0.09505702980110407,6.0,0.09784472371199998,0.9765,0.08047682791948318,0.9682,0.11321153491735458
0.08272698973698536,7.0,0.09393093476351998,0.9786,0.07476644217967987,0.9691,0.11030776053667068
0.07338042142074508,8.0,0.09017369737297917,0.9793,0.07196678221225739,0.9698,0.10411588102579117
0.06592436022865955,9.0,0.08656674947806,0.9831,0.062033332884311676,0.9695,0.10486943274736404
0.05857215580218436,10.0,0.0831040794989376,0.9862,0.05062011256814003,0.9709,0.0984858050942421
