batch_loss,epoch,learning_rate,train_accuracy,train_data_loss,train_loss,train_regularization_loss,val_accuracy,val_data_loss,val_loss,val_regularization_loss
0.35251276450388874,1.0,0.05,0.9577,0.1457425355911255,0.18862959742546082,0.04288706183433533,0.9531,0.1588142365217209,0.2017012983560562,0.04288706183433533
0.15576751582572224,2.0,0.0485,0.9761,0.07863744348287582,0.12269984185695648,0.04406239837408066,0.9664,0.10982409864664078,0.15388649702072144,0.04406239837408066
0.12196876535959103,3.0,0.047045000000000003,0.9833,0.05746079608798027,0.10219691693782806,0.044736120849847794,0.9714,0.09625235199928284,0.14098847284913063,0.044736120849847794
0.09856388683233153,4.0,0.04563365,0.9837,0.049555882811546326,0.0946032702922821,0.04504738748073578,0.972,0.09337381273508072,0.1384212002158165,0.04504738748073578
0.08515617144448906,5.0,0.0442646405,0.9889,0.03491909056901932,0.08010372519493103,0.04518463462591171,0.9746,0.08837741613388062,0.13356205075979233,0.04518463462591171
0.07562984289158411,6.0,0.042936701285,0.9941,0.0254876259714365,0.07064555771648884,0.04515793174505234,0.9767,0.07898459583520889,0.12414252758026123,0.04515793174505234
0.0672273818508286,7.0,0.04164860024644999,0.9954,0.016432326287031174,0.06143317371606827,0.045000847429037094,0.9788,0.07451314479112625,0.11951399222016335,0.045000847429037094
0.06114541497432848,8.0,0.040399142239056496,0.9962,0.015246205031871796,0.05989459529519081,0.044648390263319016,0.9791,0.07348069548606873,0.11812908574938774,0.044648390263319016
0.0569168690084706,9.0,0.0391871679718848,0.9978,0.009688425809144974,0.05388767272233963,0.044199246913194656,0.9788,0.07736241817474365,0.12156166508793831,0.044199246913194656
0.052671603649608136,10.0,0.03801155293272826,0.9983,0.009710398502647877,0.05338428635150194,0.043673887848854065,0.9777,0.08211566507816315,0.1257895529270172,0.043673887848854065
0.05032882775546854,11.0,0.03687120634474641,0.9993,0.005690470803529024,0.04879954503849149,0.04310907423496246,0.9795,0.07551351189613342,0.11862258613109589,0.04310907423496246
0.04799771889055129,12.0,0.03576507015440401,1.0,0.004532128572463989,0.047003380954265594,0.042471252381801605,0.9797,0.07690326124429703,0.11937451362609863,0.042471252381801605
0.046642366982520084,13.0,0.03469211804977189,0.9998,0.00452288705855608,0.046365139074623585,0.041842252016067505,0.9801,0.07558373361825943,0.11742598563432693,0.041842252016067505
0.04519538335663521,14.0,0.03365135450827873,1.0,0.0032755814027041197,0.044479817850515246,0.04120423644781113,0.9786,0.07651960104703903,0.11772383749485016,0.04120423644781113
0.044108955085526466,15.0,0.03264181387303037,0.9999,0.0032309931702911854,0.0438057710416615,0.040574777871370316,0.9797,0.07709967344999313,0.11767445132136345,0.040574777871370316
