batch_loss,best_monitor_value,early_stop_triggered,epoch,epochs_without_improvement,is_best_checkpoint,learning_rate,train_accuracy,train_data_loss,train_loss,train_regularization_loss,val_accuracy,val_data_loss,val_loss,val_regularization_loss
0.6735155479911038,0.16205717623233795,,1.0,0.0,1.0,0.05,0.9555,0.15097688138484955,0.46560122072696686,0.3146243393421173,0.9518,0.16205717623233795,0.47668151557445526,0.3146243393421173
0.403460541382775,0.11051914095878601,,2.0,0.0,1.0,0.0485,0.9749,0.08704143017530441,0.334471620619297,0.24743019044399261,0.9678,0.11051914095878601,0.3579493314027786,0.24743019044399261
0.31676018162323233,0.10092342644929886,,3.0,0.0,1.0,0.047045000000000003,0.9785,0.07604898512363434,0.2770160287618637,0.20096704363822937,0.9714,0.10092342644929886,0.30189047008752823,0.20096704363822937
0.25997591449800506,0.10092342644929886,,4.0,1.0,0.0,0.04563365,0.9749,0.08323431760072708,0.25171952694654465,0.16848520934581757,0.9652,0.11440761387348175,0.2828928232192993,0.16848520934581757
0.2222524488825932,0.09320328384637833,,5.0,0.0,1.0,0.0442646405,0.9847,0.056607868522405624,0.20242544636130333,0.1458175778388977,0.9726,0.09320328384637833,0.23902086168527603,0.1458175778388977
0.19814450487665966,0.07937239110469818,,6.0,0.0,1.0,0.042936701285,0.988,0.04873437434434891,0.17917267233133316,0.13043829798698425,0.9767,0.07937239110469818,0.20981068909168243,0.13043829798698425
0.1795850966049506,0.07937239110469818,,7.0,1.0,0.0,0.04164860024644999,0.9888,0.046492431312799454,0.16601525619626045,0.119522824883461,0.9759,0.08122134953737259,0.2007441744208336,0.119522824883461
0.1650799230012633,0.07600118964910507,,8.0,0.0,1.0,0.040399142239056496,0.9872,0.048773493617773056,0.1600612886250019,0.11128779500722885,0.9786,0.07600118964910507,0.18728898465633392,0.11128779500722885
0.15495748617841154,0.07600118964910507,,9.0,1.0,0.0,0.0391871679718848,0.9892,0.044701676815748215,0.14969497546553612,0.1049932986497879,0.9766,0.07771677523851395,0.18271007388830185,0.1049932986497879
0.14818223914288728,0.07600118964910507,,10.0,2.0,0.0,0.03801155293272826,0.9891,0.042079124599695206,0.143214400857687,0.10113527625799179,0.9779,0.0776686742901802,0.178803950548172,0.10113527625799179
0.14255295699590917,0.07600118964910507,1.0,11.0,3.0,0.0,0.03687120634474641,0.9906,0.04379358887672424,0.1415991336107254,0.09780554473400116,0.9766,0.07972509413957596,0.17753063887357712,0.09780554473400116
